Período: 22/5/2021, 0:00:00 - 13:24:06 [W/m2
Fecha,MeteoControl
0:00,0.12
0:05,0.11
0:10,0.11
0:15,0.11
0:20,0.11
0:25,0.11
0:30,0.11
0:35,0.12
0:40,0.12
0:45,0.12
0:50,0.12
0:55,0.12
1:00,0.13
1:05,0.13
1:10,0.13
1:15,0.13
1:20,0.13
1:25,0.12
1:30,0.12
1:35,0.11
1:40,0.11
1:45,0.11
1:50,0.11
1:55,0.11
2:00,0.11
2:05,0.10
2:10,0.10
2:15,0.10
2:20,0.10
2:25,0.10
2:30,0.10
2:35,0.10
2:40,0.10
2:45,0.10
2:50,0.10
2:55,0.10
3:00,0.10
3:05,0.10
3:10,0.11
3:15,0.10
3:20,0.11
3:25,0.10
3:30,0.10
3:35,0.10
3:40,0.10
3:45,0.09
3:50,0.09
3:55,0.09
4:00,0.09
4:05,0.09
4:10,0.09
4:15,0.09
4:20,0.09
4:25,0.09
4:30,0.09
4:35,0.09
4:40,0.09
4:45,0.09
4:50,0.09
4:55,0.09
5:00,0.09
5:05,0.09
5:10,0.09
5:15,0.09
5:20,0.09
5:25,0.08
5:30,0.08
5:35,0.08
5:40,0.08
5:45,0.09
5:50,0.10
5:55,0.13
6:00,0.20
6:05,0.31
6:10,0.89
6:15,1.77
6:20,2.61
6:25,3.57
6:30,4.31
6:35,5.98
6:40,7.38
6:45,8.52
6:50,13.14
6:55,20.54
7:00,32.77
7:05,53.84
7:10,74.24
7:15,96.44
7:20,114.39
7:25,133.47
7:30,150.63
7:35,170.13
7:40,192.44
7:45,226.37
7:50,254.41
7:55,266.41
8:00,286.73
8:05,324.75
8:10,389.56
8:15,439.03
8:20,507.61
8:25,541.75
8:30,567.23
8:35,643.73
8:40,646.23
8:45,618.74
8:50,600.36
8:55,735.13
9:00,638.13
9:05,469.41
9:10,439.50
9:15,426.23
9:20,437.97
9:25,420.59
9:30,370.90
9:35,417.29
9:40,494.21
9:45,596.63
9:50,560.61
9:55,867.02
10:00,810.22
10:05,759.28
10:10,581.72
10:15,422.57
10:20,362.32
10:25,367.07
10:30,598.72
10:35,547.42
10:40,512.15
10:45,741.74
10:50,739.71
10:55,721.52
11:00,487.99
11:05,788.82
11:10,753.93
11:15,922.04
11:20,492.07
11:25,426.96
11:30,412.80
11:35,329.84
11:40,330.46
11:45,285.29
11:50,320.87
11:55,483.64
12:00,393.74
12:05,302.90
12:10,725.60
12:15,870.58
12:20,921.61
12:25,846.71
12:30,758.62
12:35,871.52
12:40,745.00
12:45,823.51
12:50,963.05
12:55,853.26
13:00,807.32
13:05,535.70
13:10,349.81
13:15,645.34
13:20,779.11
13:25,763.62
13:30,419.16
13:35,314.90
13:40,347.56
13:45,314.34
13:50,466.27
13:55,598.83
14:00,608.68
14:05,527.17
14:10,552.90
14:15,622.17
14:20,607.74
14:25,500.76
14:30,362.25
14:35,299.99
14:40,314.02
14:45,531.47
14:50,622.49
14:55,414.03
15:00,459.96
15:05,619.20
15:10,556.76
15:15,544.54
15:20,311.47
15:25,251.71
15:30,234.93
15:35,202.85
15:40,181.17
15:45,181.18
15:50,203.20
15:55,212.00
16:00,224.23
16:05,254.07
16:10,244.10
16:15,261.23
16:20,223.35
16:25,199.42
16:30,181.05
16:35,151.01
16:40,129.79
16:45,122.59
16:50,110.51
16:55,108.49
17:00,109.35
17:05,103.24
17:10,93.40
17:15,91.33
17:20,83.83
17:25,72.35
17:30,61.23
17:35,52.08
17:40,42.91
17:45,33.99
17:50,25.32
17:55,17.70
18:00,11.96
18:05,7.60
18:10,3.83
18:15,1.56
18:20,0.57
18:25,0.27
18:30,0.21
18:35,0.20
18:40,0.20
18:45,0.20
18:50,0.20
18:55,0.20
19:00,0.20
19:05,0.20
19:10,0.20
19:15,0.20
19:20,0.20
19:25,0.19
19:30,0.19
19:35,0.19
19:40,0.19
19:45,0.19
19:50,0.18
19:55,0.18
20:00,0.17
20:05,0.17
20:10,0.17
20:15,0.17
20:20,0.17
20:25,0.16
20:30,0.16
20:35,0.16
20:40,0.16
20:45,0.16
20:50,0.15
20:55,0.15
21:00,0.15
21:05,0.15
21:10,0.14
21:15,0.14
21:20,0.14
21:25,0.14
21:30,0.15
21:35,0.15
21:40,0.15
21:45,0.15
21:50,0.15
21:55,0.15
22:00,0.15
22:05,0.15
22:10,0.15
22:15,0.15
22:20,0.15
22:25,0.15
22:30,0.15
22:35,0.14
22:40,0.13
22:45,0.13
22:50,0.12
22:55,0.12
23:00,0.12
23:05,0.12
23:10,0.13
23:15,0.13
23:20,0.13
23:25,0.12
23:30,0.12
23:35,0.12
23:40,0.12
23:45,0.12
23:50,0.12
23:55,0.12